item	itemLabel	when	date
http://www.wikidata.org/entity/Q301264	Austrian Association for Gestalt Theoretical Psychotherapy	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q301984	Ataraxia	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q302392	Advanced Design System	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q303285	Austrian Society for Environment and Technology	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q303286	Österreichische Gesellschaft für Unfallchirurgie	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q303543	Hornstrandir	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q304984	Theater Viel Lärm um Nichts	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q314723	Viking Museum Haithabu	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q314967	Deutscher Science Fiction Preis	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q316875	Star Division	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q316985	Agritechnica	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q318730	Canyon Bicycles	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q318859	Kunstmuseum Bonn	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q322320	Level 3 Communications	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q322705	Aboleiro	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q322927	The Trial	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q325882	Kokhav Ya'akov	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q327646	Enron	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q329915	Rosa 'Abraham Darby'	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q334093	Neurosis	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q335700	Abubarkar Tafawa Balewa Stadium	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q336199	Abwehramt	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q337297	MOS Technology 8563	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q337444	Académie Horlogère des Créateurs Indépendants	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q340160	FC RShVSM-Olympia Minsk	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q341387	Acid Reign	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q353025	Baltimora	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q354189	Adelbert von Chamisso Prize	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q360355	Adobe PageMaker	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q370778	twee pop	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q373639	Computational and Theoretical Chemistry	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q374839	International Sport Karate Association	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q375609	Spanish Badminton Federation	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q377230	Robots and Empire	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q378797	Aduana Stars	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q379719	Advanced School for Computing and Imaging	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q381321	Aero Services Executive	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q381417	Aerodata	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q384864	United States Basketball League	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q385406	São Paulo-Guarulhos International Airport	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q387662	Campionato Sammarinese di Calcio	1985-01-01T00:00:00Z	1985
